playerID,yearID,season1,season2,season3,season4
allenga01,1980,25,31,54,53
allenga01,1981,31,54,53,19
stankan01,1993,0,14,6,22
stankan01,1994,14,6,22,24
jonesda03,1965,99,59,46,83
jonesda03,1966,59,46,83,74
jonesda03,1967,46,83,74,42
jonesda03,1968,83,74,42,35
vealco01,1959,18,19,44,0
belliro01,1999,135,150,96,61
belliro01,2000,150,96,61,124
belliro01,2001,96,61,124,169
belliro01,2002,61,124,169,152
belliro01,2003,124,169,152,148
belliro01,2004,169,152,148,148
belliro01,2005,152,148,148,85
belliro01,2006,148,148,85,73
gibsoki01,1980,46,95,74,91
gibsoki01,1981,95,74,91,150
gibsoki01,1982,74,91,150,167
gibsoki01,1983,91,150,167,118
gibsoki01,1984,150,167,118,135
gibsoki01,1985,167,118,135,157
gibsoki01,1986,118,135,157,54
gibsoki01,1987,135,157,54,82
gibsoki01,1988,157,54,82,109
gibsoki01,1989,54,82,109,11
gibsoki01,1990,82,109,11,105
gibsoki01,1991,109,11,105,91
beckhgo01,2010,112,115,123,99
beckhgo01,2011,115,123,99,101
mckinri01,1971,100,26,16,1
mckinri01,1972,26,16,1,1
wockejo01,1975,27,32,45,53
wockejo01,1976,32,45,53,61
wockejo01,1977,45,53,61,102
wockejo01,1978,53,61,102,37
wockejo01,1979,61,102,37,58
wockejo01,1980,102,37,58,66
wockejo01,1981,37,58,66,52
niekrjo01,1968,6,7,13,4
niekrjo01,1969,7,13,4,3
niekrjo01,1970,13,4,3,1
niekrjo01,1971,4,3,1,0
niekrjo01,1972,3,1,0,3
niekrjo01,1973,1,0,3,5
niekrjo01,1974,0,3,5,7
niekrjo01,1975,3,5,7,9
niekrjo01,1976,5,7,9,10
niekrjo01,1977,7,9,10,22
niekrjo01,1978,9,10,22,9
niekrjo01,1979,10,22,9,8
niekrjo01,1980,22,9,8,8
niekrjo01,1981,9,8,8,11
niekrjo01,1982,8,8,11,17.0
niekrjo01,1983,8,11,17.0,0.0
niekrjo01,1984,11,17.0,0.0,0.0
inglejo01,2007,3,102,25,36
asproke01,1958,59,55,133,69
asproke01,1959,55,133,69,27
gomezch02,1994,76,96,117,132
gomezch02,1995,96,117,132,120
gomezch02,1996,117,132,120,59
gomezch02,1997,132,120,59,12
gomezch02,1998,120,59,12,78
gomezch02,1999,59,12,78,122
gomezch02,2000,12,78,122,44
gomezch02,2001,78,122,44,96
gomezch02,2002,122,44,96,61
gomezch02,2003,44,96,61,45
gomezch02,2004,96,61,45,66
bradlph01,1984,97,192,163,179
bradlph01,1985,192,163,179,150
bradlph01,1986,163,179,150,151
parrila02,1978,63,136,158,85
parrila02,1979,136,158,85,138
parrila02,1980,158,85,138,163
parrila02,1981,85,138,163,137
parrila02,1982,138,163,137,150
parrila02,1983,163,137,150,84
parrila02,1984,137,150,84,114
parrila02,1985,150,84,114,91
parrila02,1986,84,114,91,103
parrila02,1987,114,91,103,126
parrila02,1988,91,103,126,87
parrila02,1989,103,126,87,64
parrila02,1990,126,87,64,4
parrila02,1991,87,64,4,34
thompja01,1977,158,169,121,126
thompja01,1978,169,121,126,54
thompja01,1979,121,126,54,156
thompja01,1980,126,54,156,134
thompja01,1981,54,156,134,138
thompja01,1982,156,134,138,97
heathmi02,1979,66,74,71,77
heathmi02,1980,74,71,77,97
heathmi02,1981,71,77,97,118
heathmi02,1982,77,97,118,109
heathmi02,1983,97,118,109,65
heathmi02,1984,118,109,65,76
heathmi02,1985,109,65,76,54
heathmi02,1986,65,76,54,104
heathmi02,1987,76,54,104,100
bankser01,1954,163,176,160,169
bankser01,1955,176,160,169,193
bankser01,1956,160,169,193,179
bankser01,1957,169,193,179,162
bankser01,1958,193,179,162,142
bankser01,1959,179,162,142,164
bankser01,1960,162,142,164,98
bankser01,1961,142,164,98,156
bankser01,1962,164,98,156,162
bankser01,1963,98,156,162,139
bankser01,1964,156,162,139,158
bankser01,1965,162,139,158,136
bankser01,1966,139,158,136,143
bankser01,1967,158,136,143,56
esaskni01,1984,62,108,76,94
esaskni01,1985,108,76,94,95
esaskni01,1986,76,94,95,156
kellymi02,1995,26,9,41,67
grothjo01,1951,128,149,141,116
grothjo01,1952,149,141,116,66
grothjo01,1953,141,116,66,63
grothjo01,1954,116,66,63,45
grothjo01,1955,66,63,45,41
grothjo01,1956,63,45,41,24
bosleth01,1978,59,24,33,24
bosleth01,1979,24,33,24,8
bosleth01,1980,33,24,8,21
bosleth01,1981,24,8,21,29
bosleth01,1982,8,21,29,59
bosleth01,1983,21,29,59,33
bosleth01,1984,29,59,33,39
bosleth01,1985,59,33,39,25
bosleth01,1986,33,39,25,9
mageewe01,1997,23,22,5,51
mageewe01,1998,22,5,51,44
butlebi03,2008,122,183,189,174
butlebi03,2009,183,189,174,192
butlebi03,2010,189,174,192,168
butlebi03,2011,174,192,168,149
fieldpr01,2006,154,165,162,177
fieldpr01,2007,165,162,177,151
fieldpr01,2008,162,177,151,170
fieldpr01,2009,177,151,170,182
fieldpr01,2010,151,170,182,174
fieldpr01,2011,170,182,174,37
causewa01,1956,15,2,86,77
causewa01,1957,2,86,77,155
causewa01,1961,86,77,155,170
causewa01,1962,77,155,170,134
causewa01,1963,155,170,134,58
causewa01,1964,170,134,58,66
heepda01,1980,24,24,47,64
heepda01,1981,24,47,64,46
heepda01,1982,47,64,46,76
heepda01,1983,64,46,76,55
heepda01,1984,46,76,55,16
heepda01,1985,76,55,16,36
heepda01,1986,55,16,36,96
heepda01,1987,16,36,96,12
shamsar01,1966,54,29,82,91
shamsar01,1967,29,82,91,118
shamsar01,1968,82,91,118,25
dadepa01,1976,1,134,78,126
phillja02,1951,37,0,37,66
huffau01,2001,102,142,198,178
huffau01,2002,142,198,178,150
huffau01,2003,198,178,150,121
huffau01,2004,178,150,121,154
huffau01,2005,150,121,154,182
huffau01,2006,121,154,182,129
huffau01,2007,154,182,129,165
huffau01,2008,182,129,165,128
cashke01,2003,15,35,5,3
cashke01,2004,35,5,3,32
cashke01,2005,5,3,32,6
wainwad01,2006,3,18,16,16
wainwad01,2007,18,16,16,14
wainwad01,2008,16,16,14,8
wainwad01,2009,16,14,8,15
wainwad01,2010,14,8,15,13
haltesh01,1998,45,0,62,128
haltesh01,1999,0,62,128,98
haltesh01,2000,62,128,98,78
listapa01,1993,87,16,73,76
fernach01,1957,131,120,26,105
fernach01,1958,120,26,105,108
fernach01,1959,26,105,108,125
thomale03,1962,169,116,150,141
thomale03,1963,116,150,141,61
thomale03,1964,150,141,61,42
phillmi01,1974,62,104,67,39
phillmi01,1975,104,67,39,44
phillmi01,1976,67,39,44,22
phillmi01,1977,39,44,22,30
phillmi01,1978,44,22,30,18
phillmi01,1979,22,30,18,1
ransoco01,2002,2,6,17,8
ransoco01,2003,6,17,8,13
ransoco01,2004,17,8,13,15
ransoco01,2007,8,13,15,8
ransoco01,2008,13,15,8,5
ransoco01,2009,15,8,5,54
kinerra01,1951,164,126,157,159
alouje01,1964,103,162,96,149
alouje01,1965,162,96,149,110
alouje01,1966,96,149,110,112
alouje01,1967,149,110,112,140
alouje01,1968,110,112,140,121
alouje01,1969,112,140,121,29
alouje01,1970,140,121,29,46
alouje01,1971,121,29,46,59
alouje01,1972,29,46,59,27
alouje01,1973,46,59,27,45
pagnoto01,1988,55,12,61,121
pagnoto01,1989,12,61,121,121
pagnoto01,1990,61,121,121,85
pagnoto01,1991,121,121,85,66
pagnoto01,1992,121,85,66,47
pagnoto01,1993,85,66,47,110
pagnoto01,1994,66,47,110,11
reitzke01,1973,100,157,159,154
reitzke01,1974,157,159,154,153
reitzke01,1975,159,154,153,133
